Cat	SCat	IdProd	CodVen	Titolo	Descrizione	Peso	Prezzo	Listino	Iva	Marca	Disponibilita	DisponibilitaFutura	PrezzoPromo	DataInizioPromo	DataFinePromo	Ean	LinkImmagine	ProductID	NoDrop
Informatica	Computer & Notebook	COMNBAPP0199	MX2F3T/A	Apple MacBook Pro 2024 14" M4 Pro 14C/20G 24/1TB Silver MX2F3T/A		2,5	2104,9	2458,19	R17	Apple	1					195949874048	https://www.erregame.com/P/D/{037AD1F5-301C-45B6-ADC3-B80A8E6FF248}/COMNBAPP0199.jpg	49090	0	
Informatica	Computer & Notebook	COMNBAPP0204	MX2T3T/A	Apple MacBook Pro 2024 16" M4 Pro 14C/20G 24/512GB Silver MX2T3T/A		2,5	2104,9	2458,19	R17	Apple	1					195949867910	https://www.erregame.com/P/D/{64FCC518-53BC-461D-A9C6-4C5325EA7FAD}/COMNBAPP0204.jpg	49095	0	
Informatica	Tablet	TABTBAPP0787	MCMP4TY/A	Apple iPad 2024 10Gen 10.9" 256GB CELL Blue ITA MCMP4TY/A		0,38	344,9	613,93	R17	Apple	49					195950069624	https://www.erregame.com/P/D/{8ED7A0F5-7CB8-4673-BFA2-83C767CA1D1B}/TABTBAPP0787.jpg	48976	0	
Informatica	Tablet	TABTBAPP0791	MD4A4TY/A	Apple iPad 2025 11Gen 11" 128GB Blue ITA MD4A4TY/A		0,8	294,9	335,24	R17	Apple	13					195950086546	https://www.erregame.com/P/D/{981625E5-A292-407B-9609-0EF6D34E324A}/TABTBAPP0791.jpg	49791	0	
Informatica	Tablet	TABTBAPP0795	MD4H4TY/A	Apple iPad 2025 11Gen 11" 256GB Blue ITA MD4H4TY/A		0,8	389,5	441,8	R17	Apple	4					195950087468	https://www.erregame.com/P/D/D218B48A1C30417655000000000000000000000000000000.bmp/TABTBAPP0795.jpg	49795	0	
Informatica	Tablet	TABTBAPP0797	MD4P4TY/A	Apple iPad 2025 11Gen 11" 256GB Pink ITA MD4P4TY/A		0,8	389,5	441,8	R17	Apple	50					195950087925	https://www.erregame.com/P/D/D218B48A1C30417657000000000000000000000000000000.bmp/TABTBAPP0797.jpg	49797	0	
Informatica	Tablet	TABTBAPP0794	MD4G4TY/A	Apple iPad 2025 11Gen 11" 256GB Silver ITA MD4G4TY/A		0,8	389,5	441,8	R17	Apple	50					195950087239	https://www.erregame.com/P/D/{E25C201C-3EF9-4D02-9354-EE9F7F787277}/TABTBAPP0794.jpg	49794	0	
Informatica	Tablet	TABTBAPP0799	MD4Y4TY/A	Apple iPad 2025 11Gen 11" 512GB Blue ITA MD4Y4TY/A		0,8	564,9	646,72	R17	Apple	8					195950088380	https://www.erregame.com/P/D/{A12C89CB-4978-474A-8FD5-5512A757B9F5}/TABTBAPP0799.jpg	49799	0	
Informatica	Tablet	TABTBAPP0798	MD4Q4TY/A	Apple iPad 2025 11Gen 11" 512GB Silver ITA MD4Q4TY/A		0,8	564,9	646,72	R17	Apple	1					195950088151	https://www.erregame.com/P/D/{4633D097-235D-439C-9363-92EC3F6F5D60}/TABTBAPP0798.jpg	49798	0	
Informatica	Tablet	TABTBAPP0830	MCFV4TY/A	Apple iPad Air 2025 7Gen 11" 128GB CELL M3 S.Grey ITA MCFV4TY/A		0,8	544,9	1105,74	R17	Apple	50					195949986291	https://www.erregame.com/P/D/{FCE9E287-C0E7-407D-9E0C-810DB3314C26}/TABTBAPP0830.jpg	49831	0	
Informatica	Tablet	TABTBAPP0815	MC9X4TY/A	Apple iPad Air 2025 7Gen 11" 128GB M3 Blue ITA MC9X4TY/A		0,8	504,9	589,34	R17	Apple	8					195949997570	https://www.erregame.com/P/D/{8CF9F0C1-4FA9-4111-9EBF-F63692ED31E0}/TABTBAPP0815.jpg	49816	0	
Informatica	Tablet	TABTBAPP0820	MCA44TY/A	Apple iPad Air 2025 7Gen 11" 256GB M3 StarL ITA MCA44TY/A		0,8	601,9	695,9	R17	Apple	3					195949998720	https://www.erregame.com/P/D/D218B48A1C30418490000000000000000000000000000000.bmp/TABTBAPP0820.jpg	49821	0	
Informatica	Tablet	TABTBAPP0904	ME2N4TY/A	Apple iPad Pro 2025 6Gen 11" 256GB CELL M5 S.Black ITA ME2N4TY/A		0,76	1029,9	1122,13	R17	Apple	1					195950400861	https://www.erregame.com/P/D/D218B48A1C30419414000000000000000000000000000000.bmp/TABTBAPP0904.jpg	51630	0	
Informatica	Tablet	TABTBAPP0883	MDWN4TY/A	Apple iPad Pro 2025 6Gen 11" 512GB M5 Silver ITA MDWN4TY/A		0,76	1029,9	1122,13	R17	Apple	3					195950396140	https://www.erregame.com/P/D/D218B48A1C30418613000000000000000000000000000000.bmp/TABTBAPP0883.jpg	51609	0	
